🦥 Unsloth: Will patch your computer to enable 2x faster free finetuning.
🦥 Unsloth Zoo will now patch everything to make training faster!
==((====))==  Unsloth 2025.11.4: Fast Llama patching. Transformers: 4.57.1.
   \\   /|    NVIDIA A100-SXM4-40GB. Num GPUs = 1. Max memory: 39.381 GB. Platform: Linux.
O^O/ \_/ \    Torch: 2.9.0+cu128. CUDA: 8.0. CUDA Toolkit: 12.8. Triton: 3.5.0
\        /    Bfloat16 = TRUE. FA [Xformers = 0.0.33.post1. FA2 = True]
 "-____-"     Free license: http://github.com/unslothai/unsloth
Unsloth: Fast downloading is enabled - ignore downloading bars which are red colored!
[2025-11-29 05:41:57,144] [INFO] [real_accelerator.py:254:get_accelerator] Setting ds_accelerator to cuda (auto detect)
{'loss': 3.5345, 'grad_norm': 6.509823322296143, 'learning_rate': 0.0, 'epoch': 0.03}
{'loss': 3.5633, 'grad_norm': 6.5906805992126465, 'learning_rate': 4e-05, 'epoch': 0.06}
{'loss': 3.4606, 'grad_norm': 6.002048492431641, 'learning_rate': 8e-05, 'epoch': 0.1}
{'loss': 3.1318, 'grad_norm': 4.511501312255859, 'learning_rate': 0.00012, 'epoch': 0.13}
{'loss': 2.725, 'grad_norm': 3.0067849159240723, 'learning_rate': 0.00016, 'epoch': 0.16}
{'loss': 2.3467, 'grad_norm': 2.67805552482605, 'learning_rate': 0.0002, 'epoch': 0.19}
{'loss': 1.9725, 'grad_norm': 2.4540460109710693, 'learning_rate': 0.0001978021978021978, 'epoch': 0.22}
{'loss': 1.6862, 'grad_norm': 2.3818042278289795, 'learning_rate': 0.00019560439560439562, 'epoch': 0.25}
{'loss': 1.248, 'grad_norm': 2.5417356491088867, 'learning_rate': 0.00019340659340659342, 'epoch': 0.29}
{'loss': 0.9789, 'grad_norm': 2.786588430404663, 'learning_rate': 0.00019120879120879122, 'epoch': 0.32}
{'loss': 0.8052, 'grad_norm': 2.657897710800171, 'learning_rate': 0.00018901098901098903, 'epoch': 0.35}
{'loss': 0.6118, 'grad_norm': 1.7043968439102173, 'learning_rate': 0.00018681318681318683, 'epoch': 0.38}
{'loss': 0.587, 'grad_norm': 0.8149670958518982, 'learning_rate': 0.00018461538461538463, 'epoch': 0.41}
{'loss': 0.5594, 'grad_norm': 0.5851048827171326, 'learning_rate': 0.0001824175824175824, 'epoch': 0.45}
{'loss': 0.496, 'grad_norm': 0.44997042417526245, 'learning_rate': 0.00018021978021978024, 'epoch': 0.48}
{'loss': 0.5346, 'grad_norm': 0.4548039138317108, 'learning_rate': 0.00017802197802197802, 'epoch': 0.51}
{'loss': 0.5009, 'grad_norm': 0.4239416718482971, 'learning_rate': 0.00017582417582417582, 'epoch': 0.54}
{'loss': 0.5251, 'grad_norm': 0.3960588276386261, 'learning_rate': 0.00017362637362637365, 'epoch': 0.57}
{'loss': 0.4525, 'grad_norm': 0.424522340297699, 'learning_rate': 0.00017142857142857143, 'epoch': 0.61}
{'loss': 0.5191, 'grad_norm': 0.4004667401313782, 'learning_rate': 0.00016923076923076923, 'epoch': 0.64}
{'loss': 0.4997, 'grad_norm': 0.4602523744106293, 'learning_rate': 0.00016703296703296706, 'epoch': 0.67}
{'loss': 0.4661, 'grad_norm': 0.3880593776702881, 'learning_rate': 0.00016483516483516484, 'epoch': 0.7}
{'loss': 0.4408, 'grad_norm': 0.41556304693222046, 'learning_rate': 0.00016263736263736264, 'epoch': 0.73}
{'loss': 0.469, 'grad_norm': 0.4304836392402649, 'learning_rate': 0.00016043956043956044, 'epoch': 0.76}
{'loss': 0.5041, 'grad_norm': 0.4372573792934418, 'learning_rate': 0.00015824175824175824, 'epoch': 0.8}
{'loss': 0.4344, 'grad_norm': 0.4183973968029022, 'learning_rate': 0.00015604395604395605, 'epoch': 0.83}
{'loss': 0.4762, 'grad_norm': 0.4250986874103546, 'learning_rate': 0.00015384615384615385, 'epoch': 0.86}
{'loss': 0.4514, 'grad_norm': 0.46611666679382324, 'learning_rate': 0.00015164835164835165, 'epoch': 0.89}
{'loss': 0.5092, 'grad_norm': 0.5910791754722595, 'learning_rate': 0.00014945054945054946, 'epoch': 0.92}
{'loss': 0.4159, 'grad_norm': 0.4844776690006256, 'learning_rate': 0.00014725274725274726, 'epoch': 0.96}
{'loss': 0.4277, 'grad_norm': 0.5424578189849854, 'learning_rate': 0.00014505494505494506, 'epoch': 0.99}
{'loss': 0.4785, 'grad_norm': 0.7988713383674622, 'learning_rate': 0.00014285714285714287, 'epoch': 1.0}
{'loss': 0.4064, 'grad_norm': 0.6390001177787781, 'learning_rate': 0.00014065934065934067, 'epoch': 1.03}
{'loss': 0.4583, 'grad_norm': 0.6915071606636047, 'learning_rate': 0.00013846153846153847, 'epoch': 1.06}
{'loss': 0.4065, 'grad_norm': 0.715339183807373, 'learning_rate': 0.00013626373626373628, 'epoch': 1.1}
{'loss': 0.4079, 'grad_norm': 0.8567342758178711, 'learning_rate': 0.00013406593406593405, 'epoch': 1.13}
{'loss': 0.4331, 'grad_norm': 1.001634120941162, 'learning_rate': 0.00013186813186813188, 'epoch': 1.16}
{'loss': 0.4043, 'grad_norm': 1.1838958263397217, 'learning_rate': 0.0001296703296703297, 'epoch': 1.19}
{'loss': 0.3976, 'grad_norm': 1.4177706241607666, 'learning_rate': 0.00012747252747252746, 'epoch': 1.22}
{'loss': 0.3668, 'grad_norm': 1.826303482055664, 'learning_rate': 0.00012527472527472527, 'epoch': 1.25}
{'loss': 0.3224, 'grad_norm': 2.2000958919525146, 'learning_rate': 0.0001230769230769231, 'epoch': 1.29}
{'loss': 0.3568, 'grad_norm': 2.456951141357422, 'learning_rate': 0.00012087912087912087, 'epoch': 1.32}
{'loss': 0.3408, 'grad_norm': 1.947446584701538, 'learning_rate': 0.00011868131868131869, 'epoch': 1.35}
{'loss': 0.3397, 'grad_norm': 0.5619329214096069, 'learning_rate': 0.0001164835164835165, 'epoch': 1.38}
{'loss': 0.3336, 'grad_norm': 0.5369156002998352, 'learning_rate': 0.00011428571428571428, 'epoch': 1.41}
{'loss': 0.41, 'grad_norm': 0.7329992055892944, 'learning_rate': 0.0001120879120879121, 'epoch': 1.45}
{'loss': 0.337, 'grad_norm': 0.8213900327682495, 'learning_rate': 0.0001098901098901099, 'epoch': 1.48}
{'loss': 0.3874, 'grad_norm': 0.6247645616531372, 'learning_rate': 0.0001076923076923077, 'epoch': 1.51}
{'loss': 0.2849, 'grad_norm': 0.8573189973831177, 'learning_rate': 0.0001054945054945055, 'epoch': 1.54}
{'loss': 0.3302, 'grad_norm': 1.4502204656600952, 'learning_rate': 0.00010329670329670331, 'epoch': 1.57}
{'loss': 0.3407, 'grad_norm': 1.6858144998550415, 'learning_rate': 0.0001010989010989011, 'epoch': 1.61}
{'loss': 0.325, 'grad_norm': 1.6593595743179321, 'learning_rate': 9.89010989010989e-05, 'epoch': 1.64}
{'loss': 0.2839, 'grad_norm': 1.4956319332122803, 'learning_rate': 9.670329670329671e-05, 'epoch': 1.67}
{'loss': 0.2953, 'grad_norm': 1.1201401948928833, 'learning_rate': 9.450549450549451e-05, 'epoch': 1.7}
{'loss': 0.3507, 'grad_norm': 0.8624867796897888, 'learning_rate': 9.230769230769232e-05, 'epoch': 1.73}
{'loss': 0.3116, 'grad_norm': 0.6224945187568665, 'learning_rate': 9.010989010989012e-05, 'epoch': 1.76}
{'loss': 0.3251, 'grad_norm': 0.6230275630950928, 'learning_rate': 8.791208791208791e-05, 'epoch': 1.8}
{'loss': 0.3627, 'grad_norm': 0.5082303881645203, 'learning_rate': 8.571428571428571e-05, 'epoch': 1.83}
{'loss': 0.3237, 'grad_norm': 0.547421932220459, 'learning_rate': 8.351648351648353e-05, 'epoch': 1.86}
{'loss': 0.277, 'grad_norm': 0.4712304472923279, 'learning_rate': 8.131868131868132e-05, 'epoch': 1.89}
{'loss': 0.2778, 'grad_norm': 0.4741281270980835, 'learning_rate': 7.912087912087912e-05, 'epoch': 1.92}
{'loss': 0.3092, 'grad_norm': 0.3644488453865051, 'learning_rate': 7.692307692307693e-05, 'epoch': 1.96}
{'loss': 0.3078, 'grad_norm': 0.3790118396282196, 'learning_rate': 7.472527472527473e-05, 'epoch': 1.99}
{'loss': 0.283, 'grad_norm': 0.6841030120849609, 'learning_rate': 7.252747252747253e-05, 'epoch': 2.0}
{'loss': 0.2864, 'grad_norm': 0.458097904920578, 'learning_rate': 7.032967032967034e-05, 'epoch': 2.03}
{'loss': 0.2784, 'grad_norm': 0.4764065444469452, 'learning_rate': 6.813186813186814e-05, 'epoch': 2.06}
{'loss': 0.2786, 'grad_norm': 0.4727877080440521, 'learning_rate': 6.593406593406594e-05, 'epoch': 2.1}
{'loss': 0.2353, 'grad_norm': 0.4121038019657135, 'learning_rate': 6.373626373626373e-05, 'epoch': 2.13}
{'loss': 0.2893, 'grad_norm': 0.406870573759079, 'learning_rate': 6.153846153846155e-05, 'epoch': 2.16}
{'loss': 0.2904, 'grad_norm': 0.43974581360816956, 'learning_rate': 5.9340659340659345e-05, 'epoch': 2.19}
{'loss': 0.2788, 'grad_norm': 0.37144461274147034, 'learning_rate': 5.714285714285714e-05, 'epoch': 2.22}
{'loss': 0.2559, 'grad_norm': 0.36844760179519653, 'learning_rate': 5.494505494505495e-05, 'epoch': 2.25}
{'loss': 0.2551, 'grad_norm': 0.3871215581893921, 'learning_rate': 5.274725274725275e-05, 'epoch': 2.29}
{'loss': 0.3094, 'grad_norm': 0.3930439352989197, 'learning_rate': 5.054945054945055e-05, 'epoch': 2.32}
{'loss': 0.3096, 'grad_norm': 0.3956148624420166, 'learning_rate': 4.8351648351648355e-05, 'epoch': 2.35}
{'loss': 0.2661, 'grad_norm': 0.37976229190826416, 'learning_rate': 4.615384615384616e-05, 'epoch': 2.38}
{'loss': 0.2801, 'grad_norm': 0.43065425753593445, 'learning_rate': 4.3956043956043955e-05, 'epoch': 2.41}
{'loss': 0.2352, 'grad_norm': 0.3841104805469513, 'learning_rate': 4.1758241758241765e-05, 'epoch': 2.45}
{'loss': 0.3011, 'grad_norm': 0.42148029804229736, 'learning_rate': 3.956043956043956e-05, 'epoch': 2.48}
{'loss': 0.285, 'grad_norm': 0.4023898243904114, 'learning_rate': 3.7362637362637365e-05, 'epoch': 2.51}
{'loss': 0.3038, 'grad_norm': 0.46134623885154724, 'learning_rate': 3.516483516483517e-05, 'epoch': 2.54}
{'loss': 0.2807, 'grad_norm': 0.3852556049823761, 'learning_rate': 3.296703296703297e-05, 'epoch': 2.57}
{'loss': 0.2735, 'grad_norm': 0.3879409432411194, 'learning_rate': 3.0769230769230774e-05, 'epoch': 2.61}
{'loss': 0.2956, 'grad_norm': 0.3738333582878113, 'learning_rate': 2.857142857142857e-05, 'epoch': 2.64}
{'loss': 0.2671, 'grad_norm': 0.39372655749320984, 'learning_rate': 2.6373626373626374e-05, 'epoch': 2.67}
{'loss': 0.284, 'grad_norm': 0.39326852560043335, 'learning_rate': 2.4175824175824177e-05, 'epoch': 2.7}
{'loss': 0.2444, 'grad_norm': 0.425290048122406, 'learning_rate': 2.1978021978021977e-05, 'epoch': 2.73}
{'loss': 0.248, 'grad_norm': 0.42019110918045044, 'learning_rate': 1.978021978021978e-05, 'epoch': 2.76}
{'loss': 0.3105, 'grad_norm': 0.40681585669517517, 'learning_rate': 1.7582417582417584e-05, 'epoch': 2.8}
{'loss': 0.2839, 'grad_norm': 0.3811489939689636, 'learning_rate': 1.5384615384615387e-05, 'epoch': 2.83}
{'loss': 0.2235, 'grad_norm': 0.3893742561340332, 'learning_rate': 1.3186813186813187e-05, 'epoch': 2.86}
{'loss': 0.2657, 'grad_norm': 0.4245801568031311, 'learning_rate': 1.0989010989010989e-05, 'epoch': 2.89}
{'loss': 0.2723, 'grad_norm': 0.3975193500518799, 'learning_rate': 8.791208791208792e-06, 'epoch': 2.92}
{'loss': 0.3079, 'grad_norm': 0.4144381880760193, 'learning_rate': 6.5934065934065935e-06, 'epoch': 2.96}
{'loss': 0.268, 'grad_norm': 0.39591526985168457, 'learning_rate': 4.395604395604396e-06, 'epoch': 2.99}
{'loss': 0.2061, 'grad_norm': 0.6351349949836731, 'learning_rate': 2.197802197802198e-06, 'epoch': 3.0}
{'train_runtime': 113.2047, 'train_samples_per_second': 13.277, 'train_steps_per_second': 0.848, 'train_loss': 0.5799861196428537, 'epoch': 3.0}
